"Feature Name","Folder Path","Description","Version","Last Updated"
"001_auth_dev_prd","docs/features/001_auth_dev_prd","Authentication & Authorization","1.0","null"
"002_tenant_management_dev_prd","docs/features/002_tenant_management_dev_prd","Tenant Onboarding","1.0","null"
"003_customer_management","docs/features/003_customer_management","Customer Profiles","1.0","null"
"004_order_intake_dev_prd","docs/features/004_order_intake_dev_prd","Order Creation & Itemization","1.0","null"
"005_basic_workflow_dev_prd","docs/features/005_basic_workflow_dev_prd","Basic Workflow State Machine","1.0","null"
"006_digital_receipts_dev_prd","docs/features/006_digital_receipts_dev_prd","WhatsApp & In-App Digital Receipts","1.0","null"
"007_admin_dashboard_dev_prd","docs/features/007_admin_dashboard_dev_prd","Admin Dashboard UI","1.0","null"
"008_service_catalog_dev_prd","docs/features/008_service_catalog_dev_prd","Product & Service Catalog","1.0","null"
"009_assembly_qa_dev_prd","docs/features/009_assembly_qa_dev_prd","Assembly & QA Workflow","1.0","null"
"010_advanced_orders_dev_prd","docs/features/010_advanced_orders_dev_prd","Advanced Order Management","1.0","null"
"011_pdf_receipts_dev_prd","docs/features/011_pdf_receipts_dev_prd","PDF Receipt Generation & Printing","1.0","null"
"012_payments_dev_prd","docs/features/012_payments_dev_prd","Payment Processing","1.0","null"
"013_delivery_dev_prd","docs/features/013_delivery_dev_prd","Delivery Management","1.0","null"
"014_multi_branch_dev_prd","docs/features/014_multi_branch_dev_prd","Multi-Branch Support","1.0","null"
"015_reporting_dev_prd","docs/features/015_reporting_dev_prd","Reporting & Analytics","1.0","null"
"016_customer_app_dev_prd","docs/features/016_customer_app_dev_prd","Customer Mobile App","1.0","null"
"017_loyalty_dev_prd","docs/features/017_loyalty_dev_prd","Loyalty & Referral Programs","1.0","null"
"018_whatsapp_dev_prd","docs/features/018_whatsapp_dev_prd","WhatsApp Business API Integration","1.0","null"
"019_notifications_dev_prd","docs/features/019_notifications_dev_prd","Multi-Channel Notifications","1.0","null"
"020_booking_dev_prd","docs/features/020_booking_dev_prd","Pickup/Delivery Scheduling","1.0","null"
"021_promotions_dev_prd","docs/features/021_promotions_dev_prd","Promo Codes & Discounts","1.0","null"
"022_feedback_dev_prd","docs/features/022_feedback_dev_prd","Customer Ratings & Reviews","1.0","null"
"023_bilingual_dev_prd","docs/features/023_bilingual_dev_prd","Arabic Language Support","1.0","null"
"024_driver_app_dev_prd","docs/features/024_driver_app_dev_prd","Driver Mobile Application","1.0","null"
"025_pod_dev_prd","docs/features/025_pod_dev_prd","Proof of Delivery System","1.0","null"
"026_routing_dev_prd","docs/features/026_routing_dev_prd","Route Optimization","1.0","null"
"027_driver_metrics_dev_prd","docs/features/027_driver_metrics_dev_prd","Driver Performance Metrics","1.0","null"
"028_live_tracking_dev_prd","docs/features/028_live_tracking_dev_prd","Real-time GPS Tracking","1.0","null"
"029_b2b_customers_dev_prd","docs/features/029_b2b_customers_dev_prd","B2B Corporate Customer Management","1.0","null"
"030_b2b_billing_dev_prd","docs/features/030_b2b_billing_dev_prd","B2B Invoicing & Statements","1.0","null"
"031_inventory_dev_prd","docs/features/031_inventory_dev_prd","Inventory Management","1.0","null"
"032_machines_dev_prd","docs/features/032_machines_dev_prd","Equipment & Machine Management","1.0","null"
"033_staff_dev_prd","docs/features/033_staff_dev_prd","Staff Roles & Permissions","1.0","null"
"034_advanced_analytics_dev_prd","docs/features/034_advanced_analytics_dev_prd","Advanced Business Intelligence","1.0","null"
"035_marketplace_dev_prd","docs/features/035_marketplace_dev_prd","Marketplace Platform","1.0","null"
"036_commission_dev_prd","docs/features/036_commission_dev_prd","Commission & Escrow Management","1.0","null"
"037_reviews_dev_prd","docs/features/037_reviews_dev_prd","Review System","1.0","null"
"038_disputes_dev_prd","docs/features/038_disputes_dev_prd","Dispute Management","1.0","null"
"039_campaigns_dev_prd","docs/features/039_campaigns_dev_prd","Marketing Campaigns","1.0","null"
"040_memberships_dev_prd","docs/features/040_memberships_dev_prd","Membership Programs","1.0","null"
"041_payment_gateways_dev_prd","docs/features/041_payment_gateways_dev_prd","Multi-Gateway Payment Integration","1.0","null"
"042_wallet_dev_prd","docs/features/042_wallet_dev_prd","Wallet System","1.0","null"
"043_family_accounts_dev_prd","docs/features/043_family_accounts_dev_prd","Family Accounts & Shared Wallets","1.0","null"
"044_accounting_dev_prd","docs/features/044_accounting_dev_prd","Accounting Integration","1.0","null"
"045_offline_dev_prd","docs/features/045_offline_dev_prd","Offline & Sync Mode","1.0","null"
"046_push_dev_prd","docs/features/046_push_dev_prd","Push Notifications","1.0","null"
"047_messaging_dev_prd","docs/features/047_messaging_dev_prd","In-App Messaging","1.0","null"
"048_white_label_dev_prd","docs/features/048_white_label_dev_prd","White-Label Apps & Branding","1.0","null"
